cui,type,name
C0001873,eehu,Air Pollution
C0014419,eehu,Environmental Pollution
C0043056,eehu,Water Pollution
C0079201,eehu,Deforestation
C0085420,eehu,"Air Pollution, Indoor"
C0206217,eehu,Global Warming
C0337182,eehu,Petroleum Pollution
C0392355,eehu,Pollution
