cui,type,name
C0003732,arch,Archaea
C0018539,arch,Halobacteriaceae
C0025621,arch,Methanobacteria
C0039820,arch,Thermoplasma
C0085458,arch,Sulfolobus
C0085459,arch,Sulfolobus acidocaldarius
C0085526,arch,Methanococcus
C0085528,arch,Methanosarcinaceae
C0085530,arch,Methanosarcina barkeri
C0086382,arch,Haloarcula marismortui
C0524777,arch,"Halophiles, Extreme"
C0524822,arch,Euryarchaeota
C0524831,arch,Crenarchaeota
C0524841,arch,Haloferax volcanii
C0524915,arch,Korarchaeota
C0524918,arch,Pyrococcus
C0524919,arch,Thermococcus
C0600435,arch,Pyrococcus furiosus
C0872384,arch,hyperthermophile
C0995888,arch,Methanocaldococcus jannaschii
C0995893,arch,Methanoculleus marisnigri
C0995899,arch,Methanosarcina mazei
C0995919,arch,Thermoproteus tenax
C0995927,arch,Sulfolobus solfataricus
C1000892,arch,Pyrobaculum aerophilum
C1008013,arch,Methanococcus maripaludis
C1036410,arch,Methanocorpusculum sinense
C1062629,arch,Natrialba aegyptia
C1070697,arch,Halorhabdus utahensis
C1194220,arch,Nanoarchaeum equitans
C1208473,arch,Archaeoglobi
C1215394,arch,Nanoarchaeota
C1217481,arch,Methanocaldococcus
C1661646,arch,Haloquadratum walsbyi
C2783925,arch,Thaumarchaeota
