cui,type,name
C0007836,gora,Certification
C0010298,gora,Credentialing
C0020042,gora,Hotlines
C0023637,gora,Licensure
C0024492,gora,Mail
C0162458,gora,Advisory Committees
C0205255,gora,Imprisonment (finding)
C0242359,gora,Treaties
C0680651,gora,appeal
C0683733,gora,foreign policy
C0851285,gora,Regulation
C0871194,gora,public transportation
C0871599,gora,Cautionary Warning
C0949759,gora,Review Committees
C1512684,gora,Improve Access
C1517328,gora,Funding Mechanism
C1956344,gora,Emergency Preparedness
