cui,type,name
C0026339,resd,Biological Models
C0206665,resd,"Chromosomes, Artificial, Yeast"
C0242743,resd,Spacecraft
C0444330,resd,Slide (glass microscope)
C0600596,resd,DNA Microarray Chip
C0872110,resd,biochip
C0887889,resd,Bacterial Artificial Chromosomes
C0920531,resd,gene gun
C0920582,resd,membrane synthesis
C1449582,resd,Microchip Analytical Devices
C1519522,resd,Tissue Microarray
C1706746,resd,Agarose Gel
C1709027,resd,Microplate
C1710360,resd,Technology Platform
C1881866,resd,Mismatch Probe
C2346586,resd,Ion Trap
C2347727,resd,Quadrupole
