cui,type,name
C1511689,cnce,DNA Repair Pathway
C1512233,cnce,Glycolysis Pathway
C1512594,cnce,IL2 Signaling Pathway
C1512804,cnce,Insulin Signaling Pathway
C1512812,cnce,Integrin Signaling Pathway
C1514731,cnce,Ras Signaling Pathway
C1516014,cnce,Antigen Presentation Pathway
C1517494,cnce,Gene Silencing Pathway
C1517520,cnce,Genomic Segment
C1519748,cnce,Ubiquitin-Proteasomal Pathway
C1520113,cnce,Wnt Signaling Pathway
C1880266,cnce,Defense
C1883221,cnce,Superkingdom (taxonomic category)
