cui,type,name
C0020864,rept,Iguanas
C0023916,rept,Lizards
C0035161,rept,Reptiles
C0037382,rept,Snakes
C0041412,rept,Turtle
C0206281,rept,Thamnophis
C0206298,rept,European Viper
C0206304,rept,Genus Python (organism)
C0206313,rept,Bothrops jararaca
C0206317,rept,Crotalus
C0206318,rept,Russell's Viper
C0327132,rept,Sea Turtles
C0327136,rept,Genus Caretta (organism)
C0327149,rept,Chelus fimbriata
C0327160,rept,Crocodilian
C0327167,rept,Alligator mississippiensis
C0327176,rept,Geckos
C0327213,rept,Iguana iguana
C0327221,rept,Anolis carolinensis
C0327224,rept,Basiliscus plumifrons
C0327230,rept,Tiliqua
C0327237,rept,Trachydosaurus rugosus
C0327268,rept,Heloderma suspectum
C0327292,rept,Genus Corallus
C0327300,rept,Python regius
C0327302,rept,Python molurus
C0327305,rept,Chondropython viridis
C0327434,rept,Naja mossambica
C0327473,rept,Bungarus multicinctus
C0327528,rept,Crotalus durissus terrificus
C0327539,rept,Crotalus durissus
C0327571,rept,Trimeresurus mucrosquamatus
C0995155,rept,Boa constrictor (reptile)
C0999068,rept,Caretta caretta
C0999074,rept,Chinemys
C1004207,rept,Amniota
C1005396,rept,Thamnophis sirtalis
C1016267,rept,Corallus annulatus
C1062411,rept,Apodora papuana
C1070723,rept,Gekko japonicus
C1086997,rept,Emydura macquarii
C1188007,rept,Pogona vitticeps
C1193493,rept,Bothrops leucurus
C1692866,rept,Caiman lizard
