cui,type,name
C0000869,plnt,Acacia
C0002022,plnt,Alfalfa
C0002032,plnt,Chlorophyta
C0002033,plnt,Rhodophyta
C0002168,plnt,Aloe
C0003625,plnt,Genus Malus
C0004755,plnt,Hordeum
C0006622,plnt,Cacao Plant
C0006932,plnt,Capsicum
C0007335,plnt,Manihot esculenta
C0007336,plnt,Cassia
C0007341,plnt,Ricinus communis
C0008155,plnt,Chlamydomonas
C0008720,plnt,Chrysanthemum
C0008802,plnt,Cinnamomum verum
C0010028,plnt,Zea mays
C0010196,plnt,Gossypium
C0010283,plnt,Crataegus
C0012252,plnt,Genus: Digitalis
C0015148,plnt,Eucalyptus
C0017102,plnt,Allium sativum
C0017987,plnt,Glycyrrhiza
C0018210,plnt,Poaceae
C0019240,plnt,Herb
C0023263,plnt,Fabaceae
C0023753,plnt,Flax
C0023969,plnt,Lolium (plant)
C0025125,plnt,Medicinal Herbs
C0030348,plnt,Papaver
C0030736,plnt,Arachis hypogaea
C0032088,plnt,Plant product
C0032094,plnt,Plantago major
C0032098,plnt,Plants
C0032100,plnt,"Plants, Medicinal"
C0032101,plnt,"Plants, Toxic"
C0032385,plnt,Pollen
C0034670,plnt,Brassica rapa
C0035853,plnt,Rosa
C0036563,plnt,Plant seeds
C0038382,plnt,Datura stramonium (plant)
C0040811,plnt,Trees (plant)
C0060207,plnt,Trigonella foenum-graecum
C0085245,plnt,"Plants, Transgenic"
C0086369,plnt,Grains
C0086598,plnt,Medicago
C0086707,plnt,Nicotiana
C0086767,plnt,Panax
C0086964,plnt,Secale
C0087040,plnt,Helianthus species
C0087114,plnt,Triticum
C0087179,plnt,Zea
C0115668,plnt,Eleutherococcus
C0120496,plnt,Commiphora
C0146898,plnt,Tripterygium hypoglaucum
C0162740,plnt,Arabidopsis thaliana <plant>
C0162741,plnt,Arabidopsis
C0242437,plnt,Seedlings
C0242724,plnt,Plant Leaves
C0242726,plnt,Plant Roots
C0242728,plnt,Meristem
C0242769,plnt,Cotyledon plant
