cui,type,name
C0002429,amph,Ambystoma
C0002430,amph,Ambystoma mexicanum
C0002668,amph,Amphibians
C0003459,amph,Anura
C0006356,amph,Bufo bufo
C0006357,amph,Bufo marinus
C0006358,amph,Bufonidae
C0034651,amph,Rana catesbeiana
C0034653,amph,Rana pipiens
C0034654,amph,Rana ridibunda
C0034655,amph,Rana temporaria
C0040324,amph,Fire-Bellied Toad
C0042058,amph,Urodela
C0043343,amph,Xenopus laevis
C0086949,amph,Salamanders
C0326967,amph,Tadpole
C0327066,amph,Litoria caerulea
C0999001,amph,Bombina variegata
C0999009,amph,Xenopus tropicalis
C1004206,amph,Tetrapoda
C1048093,amph,Limnodynastes ornatus
C1076568,amph,Rana aurora
C1189197,amph,Nanorana parkeri
C1213291,amph,Rana grylio
C1669434,amph,Acris
C1691213,amph,Congo eel
C1930288,amph,Taudactylus acutirostris
C1961114,amph,Bombina bombina
C4184442,amph,Rugosa
