cui,type,name
C0003087,bsoj,Ankle joint structure
C0007769,bsoj,Cerebral aqueduct
C0007799,bsoj,Cerebral Ventricles
C0010265,bsoj,Structure of posterior fossa of cranial cavity
C0013455,bsoj,middle ear
C0014871,bsoj,Esophagogastric Junction
C0015352,bsoj,Extracellular Space
C0016734,bsoj,Frontal Sinus
C0019558,bsoj,Hip Joint
C0021721,bsoj,Intercellular Junctions
C0022417,bsoj,Joints
C0022745,bsoj,Knee joint
C0024957,bsoj,Maxillary Sinus
C0025525,bsoj,Metacarpophalangeal joint structure
C0027423,bsoj,Nasal cavity
C0027869,bsoj,Neuromuscular Junction
C0030471,bsoj,Nasal sinus
C0034667,bsoj,Ranvier's Nodes
C0035878,bsoj,Structure of cochlear window
C0037009,bsoj,Joint structure of shoulder region
C0037922,bsoj,Spinal Canal
C0038527,bsoj,Subarachnoid Space
C0039062,bsoj,Synapses
C0042606,bsoj,Vestibule
C0152279,bsoj,Lateral ventricle structure
C0178718,bsoj,intercellular connection
C0206117,bsoj,Gap Junctions
C0221929,bsoj,Dermoepidermal junction
C0222607,bsoj,Breast collecting duct
C0222662,bsoj,Medullary cavity of bone
C0222666,bsoj,Structure of epiphyseal line
C0224497,bsoj,Articular space
C0224517,bsoj,Dento-alveolar joint
C0224521,bsoj,Facet joint structure
C0224540,bsoj,Structure of frontal suture of skull
C0225319,bsoj,Interstitial space
C0225377,bsoj,Structure of upper respiratory tract cavity
C0225465,bsoj,Infraorbital sinus
C0225892,bsoj,Structure of outflow tract of right ventricle
C0225972,bsoj,Pericardial cavity
C0225983,bsoj,Structure of perivascular space
C0226896,bsoj,Oral cavity
C0227203,bsoj,Structure of gastric foveola
C0227312,bsoj,Structure of jejunal lumen
C0228110,bsoj,Structure of virchow-Robin space
C0229289,bsoj,Lacrimal sac
C0229872,bsoj,Faucial pillar
C0229876,bsoj,Structure of tonsillar crypt
C0229984,bsoj,Anatomical space structure
C0230136,bsoj,Structure of intercostal space
C0230349,bsoj,Cubital fossa
C0230962,bsoj,Structure of placental spaces
C0242255,bsoj,Tympanic cavity
C0242358,bsoj,Tight Junctions
C0332469,bsoj,Fissure
C0333343,bsoj,Body cavities
C0391889,bsoj,Synostosis
C0444567,bsoj,Ostium
C0446697,bsoj,Lumbar subarachnoid space
C0450102,bsoj,Optic canal
C0459561,bsoj,Orbital space
C0502420,bsoj,Suture Joint
C0524461,bsoj,Structure of lumen of body system
C0545594,bsoj,bone and joint
C0545697,bsoj,Right accessory sinus cavity
C0545698,bsoj,Left accessory sinus cavity
C0545876,bsoj,Lumen of intestine
C0595944,bsoj,Anterior nares
C0682581,bsoj,Intracellular Space
C0682583,bsoj,central compartment
C0682584,bsoj,peripheral compartment
C0682624,bsoj,Sinusoid
C0694756,bsoj,Intrauterine
C0729936,bsoj,Cardiac chamber structure
C0733987,bsoj,Lumen of large intestine
C0741204,bsoj,ARCH
C0819925,bsoj,Pulmonary interstitium
C0872093,bsoj,adherent junction
C0923883,bsoj,Marginal sinus
C0926401,bsoj,Nasolacrimal canal
C0926784,bsoj,Facial canal
C0929501,bsoj,Cavity of eyeball
C0932508,bsoj,Proximal interphalangeal joint
C0935377,bsoj,Left axillary fossa
C1179882,bsoj,Chemical synapse
C1179886,bsoj,Cell cavity
C1180098,bsoj,Tissue space
C1180370,bsoj,Intracellular junction
C1184208,bsoj,Lumen of bronchiole
C1184482,bsoj,Groove
C1185718,bsoj,Cistern
C1185742,bsoj,Commissure
C1235660,bsoj,Notch
C1261046,bsoj,Glenoid structure
C1444179,bsoj,Interdental space
C1516988,bsoj,Excitatory Synapse
C1704247,bsoj,Peritoneal Cavity
C2953433,bsoj,Right third upper molar tooth bony socket
C3271545,bsoj,slit diaphragm
C3686739,bsoj,Structure of celomic cavity
C4322717,bsoj,Subpial space
C4328872,bsoj,glutamatergic synapse
