cui,type,name
C0001383,npop,Acylation
C0001398,npop,Biological Adaptation
C0001515,npop,Adhesiveness
C0001876,npop,Air Pressure
C0002074,npop,Alkylation
C0003219,npop,Antibiosis
C0003317,npop,Antigenic Specificity
C0004178,npop,"Atmosphere, planetary"
C0004180,npop,Atmospheric Pressure
C0004645,npop,Bacteriolysis
C0005482,npop,Biodegradation
C0005495,npop,Origin of Life
C0005520,npop,Biological Phenomena
C0007382,npop,Catalysis
C0008946,npop,Climate
C0009264,npop,Cold Temperature
C0010106,npop,Corrosion
C0010166,npop,Cosmic Radiation
C0010423,npop,Crystallization
C0010546,npop,Cyclization
C0010986,npop,Darkness
C0011061,npop,Deamination
C0011100,npop,Deceleration
C0011682,npop,Desiccation
C0011945,npop,Physical Dialysis
C0012222,npop,Diffusion
C0013140,npop,Droughts
C0013463,npop,Earthquakes
C0013764,npop,elasticity
C0013790,npop,Electricity
C0013835,npop,Electromagnetic Fields
C0013838,npop,Electromagnetics
C0014895,npop,Esterification
C0016248,npop,Floods
C0016315,npop,Fluorescence
C0016701,npop,Freezing
C0017011,npop,Gamma Rays
C0017982,npop,glycosylation
C0018837,npop,Heat (physical force)
C0018906,npop,"Hemagglutination, Viral"
C0020034,npop,Host-Parasite Interactions
C0020167,npop,Humidity
C0020183,npop,Hurricanes
C0020276,npop,Hydrogen Bonding
C0020286,npop,Hydrogenation
C0020291,npop,Hydrolysis
C0020309,npop,Hydrostatic Pressure
C0021431,npop,Infrared Rays
C0022203,npop,Isomerism
C0023693,npop,Light
C0025594,npop,Meteorological Factors
C0025723,npop,Methylation
C0026051,npop,microwave electromagnetic radiation
C0026597,npop,Motion
C0027485,npop,Natural Disasters
C0028884,npop,Odors
C0029391,npop,Osmosis
C0029393,npop,Osmotic Pressure
C0030012,npop,Oxidation-Reduction
C0030604,npop,Partial Pressure
C0031164,npop,Permeability
C0032931,npop,Precipitation
C0034519,npop,Electromagnetic Radiation
C0034538,npop,Ionizing radiation
C0034553,npop,Radioactivity
C0034640,npop,Rain
C0037365,npop,Smog
C0037605,npop,Solar Energy
C0037709,npop,Sound - physical agent
C0037783,npop,Species Specificity
C0038442,npop,"Stress, Mechanical"
C0038817,npop,Sunlight
C0038884,npop,Surface Properties
C0038887,npop,Surface Tension
C0039029,npop,Symbiosis
C0041183,npop,Tropical Climate
C0041625,npop,Ultraviolet Rays
C0042333,npop,Variation (Genetics)
C0042730,npop,Viral Interference
C0042784,npop,Viscosity
C0043085,npop,Weather
C0043187,npop,Environmental Wind
C0085224,npop,Virus Integration
C0085406,npop,Anisotropy
C0086685,npop,Natural Selection
C0162358,npop,Ecosystem
C0162524,npop,Chemiluminescence
C0162535,npop,electrical resistance
C0162691,npop,Friction
C0178587,npop,density
C0221332,npop,Sonar
C0232001,npop,Laminar airflow
C0242377,npop,"Light, Visible"
C0242535,npop,Microgravity
C0243052,npop,Virus Physiological Phenomena
C0243053,npop,Bacterial Physiological Phenomena
C0243176,npop,chemical composition
C0243178,npop,chemical properties
C0282113,npop,Sustainable Development
C0282688,npop,"Evolution, Molecular"
C0301630,npop,Reduction (chemical)
C0303896,npop,Blue light
C0336996,npop,Physical force
C0337000,npop,Cyclonic Storms
C0337002,npop,Tidal Waves
C0337003,npop,Flash flood
C0337004,npop,Hot weather
C0337005,npop,Cold weather
C0337007,npop,High humidity
C0337016,npop,Landslides
C0337026,npop,Blast (physical force)
C0337037,npop,Electric field
C0337050,npop,Rivers
C0376322,npop,Protein Glycosylation
C0376525,npop,Dimerization
C0376534,npop,Electrostatics
C0376617,npop,Solar Activity
C0376706,npop,Mechanics
C0428692,npop,Ambient temperature
C0442540,npop,Streams
C0444608,npop,Warm air
C0445194,npop,Power output
C0450025,npop,Environmental stimuli
C0450029,npop,Cold air
C0450448,npop,Waveforms
C0459800,npop,Vibration - physical agent
C0522534,npop,Saturated
C0542479,npop,"Energy, Physics"
C0563227,npop,Red light
C0563228,npop,White light
C0563533,npop,Magnetic Fields
C0563548,npop,Electric charge
C0563597,npop,Momentum
C0564461,npop,Ultraviolet B radiation
C0596322,npop,chemical stability
C0596391,npop,covalent bond
C0596539,npop,evaporation
C0596578,npop,fluid flow
C0596583,npop,Food Chain
C0596835,npop,light emission
C0596836,npop,Light intensity
C0597571,npop,thermostability
C0597678,npop,water flow
C0597762,npop,deacylation
C0597767,npop,cohesion
C0598197,npop,contagion
C0598864,npop,Demethylation
C0599026,npop,light transmission
C0599514,npop,Mutualism
C0599882,npop,Melting
C0600511,npop,Pharmacologic Actions
C0677482,npop,Parasitism
C0678538,npop,Potential Energy
C0678542,npop,chemical energy
C0678544,npop,wave - physical agent
C0678548,npop,microviscosity
C0678565,npop,liquid solution
C0678568,npop,Cool - action
C0678573,npop,scintillation
C0678575,npop,infrared spectrum
C0678578,npop,brightness
C0678590,npop,equilibrium constant
C0678591,npop,free energy
C0678592,npop,free energy change
C0678595,npop,peptide bond
C0678596,npop,chemical reactivity
C0678610,npop,transfer reaction
C0678612,npop,enzyme specificity
C0678615,npop,amidation
C0679215,npop,health and disease
C0681767,npop,moist climate
C0681778,npop,monsoon
C0683109,npop,high intensity light
C0851346,npop,Radiation
C0868933,npop,Climatic factors
C0870904,npop,mirror image
C0917874,npop,Magnetic Resonance
C1135950,npop,Shear Strength
C1136308,npop,Genetic Processes
C1138417,npop,Photobleaching
C1171318,npop,shear stress
C1257749,npop,Herb-Drug Interactions
C1257888,npop,Phase Transition
C1328924,npop,magnetic beads
C1449602,npop,Icebergs
C1450275,npop,luminescence
C1510827,npop,Affinity
C1521797,npop,transmission process
C1537026,npop,laminar flow
C1563772,npop,Bacterial Viability
C1563773,npop,Virus Viability
C1705970,npop,Electrical Current
C1709375,npop,Oxidation-Reduction Potential
C1720789,npop,DNA Denaturation
C1720804,npop,Raman Scattering
C1720992,npop,"Extinction, Mass"
C1720993,npop,"Extinction, Species"
C1721088,npop,Wetlands
C1881775,npop,Melting Point
C1948023,npop,Stimulation (motivation)
C1998926,npop,Tsunamis
C2348693,npop,Flux
C2350399,npop,Metabolome
C2350458,npop,Chemical Processes
C2350512,npop,Bacterial Processes
C2350595,npop,Mudslides
C2717975,npop,Virus Release
C2717976,npop,Virus Budding
C2718051,npop,Climate Change
C2936194,npop,Hydrodynamics
C2936412,npop,Host Specificity
C2936413,npop,Host Range
C2936468,npop,Seed Dispersal
C2936614,npop,El Nino-Southern Oscillation
C2936626,npop,Tumor Microenvironment
C2963164,npop,Wildfires
C3179134,npop,Sympatry
C3494179,npop,Cancer Microenvironment
C3494255,npop,Water Resources
C3536899,npop,Commensalism
C3661513,npop,Osmotic Stress
C3821096,npop,mannosylation
C3826310,npop,Fouling
C3826426,npop,Dynamics
C3829281,npop,Limited by Health
C3850019,npop,Rainforest
C3850077,npop,Drug Liberation
C3853023,npop,Biome
C4042896,npop,Organelle Biogenesis
C4042908,npop,Seroconversion
C4277617,npop,Life History Traits
C4505259,npop,Quasispecies
C4505260,npop,Viral Quasispecies
