cui,type,name
C0000857,ocac,Abstracting
C0001554,ocac,Administration occupational activities
C0005517,ocac,Biological Monitoring
C0009219,ocac,Coding
C0009847,ocac,containment
C0010171,ocac,Cost Analysis
C0010992,ocac,Data Analysis
C0014416,ocac,Environmental Monitoring
C0015473,ocac,Facility Design
C0016116,ocac,Occupational activity of managing finances
C0016490,ocac,Food Services
C0021267,ocac,Industry
C0023927,ocac,Lobbying
C0024826,ocac,Marketing
C0026175,ocac,Mining
C0028711,ocac,Nutrition Labeling
C0031249,ocac,Pest Control
C0033161,ocac,Printing
C0033284,ocac,Professional Practice
C0033414,ocac,Promotion (action)
C0034037,ocac,Publishing
C0038123,ocac,Staff Development
C0043227,ocac,Work
C0085837,ocac,Arbitrating
C0085936,ocac,business career
C0149692,ocac,Finance
C0150099,ocac,Economic Evaluation
C0162591,ocac,Private Enterprise
C0178534,ocac,career
C0178932,ocac,quality assurance
C0237902,ocac,Professional Supervision
C0242415,ocac,Logistics
C0242479,ocac,Interdisciplinary Studies
C0243134,ocac,administrative structure
C0282110,ocac,Community Outreach
C0443352,ocac,Wet work
C0524863,ocac,Food Industry
C0597684,ocac,Water Treatment
C0599199,ocac,lithography
C0600585,ocac,Practice Management
C0680894,ocac,retailing
C0681300,ocac,information transfer
C0681316,ocac,information acquisition
C0683832,ocac,information searching
C0699788,ocac,import
C0699789,ocac,export
C0868955,ocac,editing
C0870840,ocac,manufacture
C0920511,ocac,facility renovation
C0920686,ocac,building design
C1456535,ocac,Food Safety
C1514981,ocac,Strategic Planning
C2718053,ocac,Radio Frequency Identification
C2936612,ocac,Quality Improvement
C3494349,ocac,Epidemiologic Surveillance
C3494384,ocac,Health Information Management
C3540678,ocac,Task
C3842406,ocac,CEO
C4042871,ocac,Hydraulic Fracking
C4042885,ocac,Open Access Publishing
C4279946,ocac,Humanitarian Assistance
C4505375,ocac,Biosafety
