cui,type,name
C0004376,mcha,Automation
C0009609,mcha,Computer Simulation
C0034957,mcha,Refrigeration
C0037082,mcha,"Signal Processing, Computer-Assisted"
C0039450,mcha,Teleconference
C0178706,mcha,image processing
C0376284,mcha,Machine Learning
C0597171,mcha,parallel processing
C0868941,mcha,Data Processing
C1516770,mcha,Computer Analysis
C1708464,mcha,Image Acquisition
C2347840,mcha,Commit Operation
C2717775,mcha,Molecular Dynamics Simulation
C3489666,mcha,In Silico
