cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0020969,C1512827,AFFECTS,"Immunity, Innate",Interferon Signaling Process,orga,phsf,1,AFFECTS_ORGAafctPHSF
C0806140,C0035203,AFFECTS,Flow,Respiration,orga,phsf,1,AFFECTS_ORGAafctPHSF
C1537068,C0243144,AFFECTS,Virus Internalization,Uptake,orga,phsf,1,AFFECTS_ORGAafctPHSF
