cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0596404,C0376432,USES,Data Management,Bioreactors,resa,phob,1,USES_RESAusesPHOB
C0681814,C0376432,USES,research study,Bioreactors,resa,phob,1,USES_RESAusesPHOB
