cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0220825,C0021368,PREVENTS,Evaluation,Inflammation,ftcn,patf,1,PREVENTS_FTCNprevPATF
C0220825,C0333574,PREVENTS,Evaluation,Fatty deposition,ftcn,patf,1,PREVENTS_FTCNprevPATF
C0220825,C0854460,PREVENTS,Evaluation,Indirect Transmission,ftcn,patf,1,PREVENTS_FTCNprevPATF
C0220825,C3714514,PREVENTS,Evaluation,Infection,ftcn,patf,2,PREVENTS_FTCNprevPATF
