cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0019868,C0001511,AFFECTS,Homeostasis,Tissue Adhesions,orgf,acab,1,AFFECTS_ORGFafctACAB
C1155250,C0001511,AFFECTS,immunoglobulin mediated immune response,Tissue Adhesions,orgf,acab,1,AFFECTS_ORGFafctACAB
