cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0030011,C0001527,PROCESS_OF,Oxidation,Adipose tissue,phpr,tisu,1,PROCESS_OF_PHPRprcfTISU
C0030011,C0026845,PROCESS_OF,Oxidation,Muscle,phpr,tisu,1,PROCESS_OF_PHPRprcfTISU
